batch,apa,pde,excluded_channels
1,1,0.4,"[10705, 10700, 10710, 10702]"
1,1,0.45,[10710]
1,1,0.5,[10710]
1,2,0.4,"[10913, 10914, 10916, 10917, 10920, 10910, 10911]"
1,2,0.45,"[10913, 10914, 10916, 10917, 10910, 10911]"
1,2,0.5,"[10913, 10914, 10916, 10917, 10910, 10911]"
1,3,0.4,"[11131, 11115, 11101]"
1,3,0.45,[11131]
1,3,0.5,"[11131, 11115]"
1,4,0.4,"[11233, 11300, 11302, 11305, 11211, 11307, 11222]"
1,4,0.45,"[11233, 11300, 11305, 11211, 11307, 11222]"
1,4,0.5,"[11233, 11211]"
2,1,0.4,[]
2,1,0.45,[]
2,1,0.5,[]
2,2,0.4,"[10913, 10914, 10916, 10917, 10907, 10910, 10911]"
2,2,0.45,"[10913, 10914, 10916, 10917, 10910, 10911]"
2,2,0.5,"[10913, 10914, 10916, 10917, 10910, 10911]"
2,3,0.4,[11131]
2,3,0.45,[11131]
2,3,0.5,"[11131, 11115]"
2,4,0.4,"[11233, 11300, 11302, 11211, 11307]"
2,4,0.45,"[11307, 11211]"
2,4,0.5,"[11302, 11211, 11222]"
3,2,0.4,"[10913, 10914, 10916, 10917, 10910, 10911]"
3,2,0.45,"[10913, 10914, 10916, 10917, 10910, 10911]"
3,2,0.5,"[10913, 10914, 10916, 10917, 10910, 10911]"
3,3,0.4,"[11131, 11101]"
3,3,0.45,[11131]
3,3,0.5,"[11131, 11115]"
3,4,0.4,"[11233, 11300, 11302, 11305, 11211, 11307, 11222]"
3,4,0.45,"[11233, 11211, 11300, 11222]"
3,4,0.5,"[11233, 11211, 11222]"
4,1,0.45,[]
4,2,0.45,"[10913, 10914, 10916, 10917, 10910, 10911]"
4,3,0.45,[]
4,4,0.45,[]
5,1,0.45,[]
5,2,0.45,"[10913, 10914, 10916, 10917, 10910, 10911]"
5,3,0.45,[]
5,4,0.45,[]
6,3,0.45,[]
6,4,0.45,[]
7,2,0.4,"[10913, 10914, 10916, 10917, 10910, 10911]"
7,2,0.45,"[10913, 10914, 10916, 10917, 10910, 10911]"
7,2,0.50,"[10913, 10914, 10916, 10917, 10910, 10911]"
7,3,0.4,[]
7,3,0.45,[]
7,3,0.50,[]
7,4,0.4,[]
7,4,0.45,[]
7,4,0.50,[]
