endpoint,daphne_ch,offline_ch,APA,TPC,det_center_x,det_center_y,det_center_z,ch_center_z
112,7,0,4,6,357.295655,578.908875,347.29625,427.19625
112,1,1,4,6,357.295655,518.159,347.29625,427.19625
112,17,2,4,6,357.295655,457.409125,347.29625,427.19625
112,11,3,4,6,357.295655,396.65925,347.29625,427.19625
113,7,4,4,6,357.295655,335.909375,347.29625,427.19625
112,20,5,4,6,357.295655,275.1595,347.29625,427.19625
112,26,6,4,6,357.295655,214.409625,347.29625,427.19625
112,30,7,4,6,357.295655,153.65975,347.29625,427.19625
112,36,8,4,6,357.295655,92.909875,347.29625,427.19625
112,40,9,4,6,357.295655,32.16,347.29625,427.19625
112,5,10,4,6,357.295655,578.908875,347.29625,377.99625
112,3,11,4,6,357.295655,518.159,347.29625,377.99625
112,15,12,4,6,357.295655,457.409125,347.29625,377.99625
112,13,13,4,6,357.295655,396.65925,347.29625,377.99625
113,5,14,4,6,357.295655,335.909375,347.29625,377.99625
112,22,15,4,6,357.295655,275.1595,347.29625,377.99625
112,24,16,4,6,357.295655,214.409625,347.29625,377.99625
112,32,17,4,6,357.295655,153.65975,347.29625,377.99625
112,34,18,4,6,357.295655,92.909875,347.29625,377.99625
112,42,19,4,6,357.295655,32.16,347.29625,377.99625
112,2,20,4,6,357.295655,578.908875,347.29625,316.59625
112,4,21,4,6,357.295655,518.159,347.29625,316.59625
112,12,22,4,6,357.295655,457.409125,347.29625,316.59625
112,14,23,4,6,357.295655,396.65925,347.29625,316.59625
113,2,24,4,6,357.295655,335.909375,347.29625,316.59625
112,25,25,4,6,357.295655,275.1595,347.29625,316.59625
112,23,26,4,6,357.295655,214.409625,347.29625,316.59625
112,35,27,4,6,357.295655,153.65975,347.29625,316.59625
112,33,28,4,6,357.295655,92.909875,347.29625,316.59625
112,45,29,4,6,357.295655,32.16,347.29625,316.59625
112,0,30,4,6,357.295655,578.908875,347.29625,267.39625
112,6,31,4,6,357.295655,518.159,347.29625,267.39625
112,10,32,4,6,357.295655,457.409125,347.29625,267.39625
112,16,33,4,6,357.295655,396.65925,347.29625,267.39625
113,0,34,4,6,357.295655,335.909375,347.29625,267.39625
112,27,35,4,6,357.295655,275.1595,347.29625,267.39625
112,21,36,4,6,357.295655,214.409625,347.29625,267.39625
112,37,37,4,6,357.295655,153.65975,347.29625,267.39625
112,31,38,4,6,357.295655,92.909875,347.29625,267.39625
112,47,39,4,6,357.295655,32.16,347.29625,267.39625
111,6,40,3,2,357.295655,578.908875,115.23625,195.13625
111,31,41,3,2,357.295655,518.159,115.23625,195.13625
111,7,42,3,2,357.295655,457.409125,115.23625,195.13625
111,30,43,3,2,357.295655,396.65925,115.23625,195.13625
111,46,44,3,2,357.295655,335.909375,115.23625,195.13625
111,11,45,3,2,357.295655,275.1595,115.23625,195.13625
111,17,46,3,2,357.295655,214.409625,115.23625,195.13625
111,21,47,3,2,357.295655,153.65975,115.23625,195.13625
111,47,48,3,2,357.295655,92.909875,115.23625,195.13625
111,20,49,3,2,357.295655,32.16,115.23625,195.13625
111,4,50,3,2,357.295655,578.908875,115.23625,145.93625
111,33,51,3,2,357.295655,518.159,115.23625,145.93625
111,5,52,3,2,357.295655,457.409125,115.23625,145.93625
111,32,53,3,2,357.295655,396.65925,115.23625,145.93625
111,44,54,3,2,357.295655,335.909375,115.23625,145.93625
111,13,55,3,2,357.295655,275.1595,115.23625,145.93625
111,15,56,3,2,357.295655,214.409625,115.23625,145.93625
111,23,57,3,2,357.295655,153.65975,115.23625,145.93625
111,45,58,3,2,357.295655,92.909875,115.23625,145.93625
111,22,59,3,2,357.295655,32.16,115.23625,145.93625
111,3,60,3,2,357.295655,578.908875,115.23625,84.53625
111,34,61,3,2,357.295655,518.159,115.23625,84.53625
111,2,62,3,2,357.295655,457.409125,115.23625,84.53625
111,35,63,3,2,357.295655,396.65925,115.23625,84.53625
111,43,64,3,2,357.295655,335.909375,115.23625,84.53625
111,14,65,3,2,357.295655,275.1595,115.23625,84.53625
111,12,66,3,2,357.295655,214.409625,115.23625,84.53625
