date,run,ov,vgain,integrator,mask,width,intensity
2024-07-09T10:20:00,27898,"[2.0, 3.5]",-1,False,50,20,1400
2024-07-09T10:24:00,27899,"[2.0, 3.5]",-1,False,50,20,1800
2024-07-09T10:29:00,27900,"[2.0, 3.5]",-1,False,50,20,2200
2024-07-09T12:03:00,27921,"[2.0, 3.5]",-1,False,50,20,2800
2024-07-09T10:40:00,27902,"[2.5, 4.5]",-1,False,50,20,1400
2024-07-09T10:45:00,27903,"[2.5, 4.5]",-1,False,50,20,1800
2024-07-09T10:50:00,27904,"[2.5, 4.5]",-1,False,50,20,2200
2024-07-09T10:34:00,27901,"[2.5, 4.5]",-1,False,50,20,2800
2024-07-09T10:55:00,27905,"[3.0, 7.0]",-1,False,50,20,1400
2024-07-09T11:01:00,27906,"[3.0, 7.0]",-1,False,50,20,1800
2024-07-09T11:06:00,27907,"[3.0, 7.0]",-1,False,50,20,2200
2024-07-09T11:11:00,27908,"[3.0, 7.0]",-1,False,50,20,2800
2024-07-09T11:50:00,27917,"[2.0, 3.5]",-1,False,1,1,1400
2024-07-09T11:53:00,27918,"[2.0, 3.5]",-1,False,1,1,1600
2024-07-09T11:56:00,27919,"[2.0, 3.5]",-1,False,1,1,1800
2024-07-09T11:59:00,27920,"[2.0, 3.5]",-1,False,12,1,2000
2024-07-09T11:39:00,27913,"[2.5, 4.5]",-1,False,1,1,1400
2024-07-09T11:41:00,27914,"[2.5, 4.5]",-1,False,1,1,1600
2024-07-09T11:44:00,27915,"[2.5, 4.5]",-1,False,1,1,1800
2024-07-09T11:47:00,27916,"[2.5, 4.5]",-1,False,12,1,2000
2024-07-09T11:18:00,27909,"[3.0, 7.0]",-1,False,1,1,1400
2024-07-09T11:22:00,27910,"[3.0, 7.0]",-1,False,1,1,1600
2024-07-09T11:26:00,27911,"[3.0, 7.0]",-1,False,1,1,1800
2024-07-09T11:32:00,27912,"[3.0, 7.0]",-1,False,12,1,2000
2024-07-26T15:27:00,28183,"[2.0, 3.5]",-1,False,50,20,1400
2024-07-26T16:02:00,28186,"[2.0, 3.5]",-1,False,50,20,1800
2024-07-26T16:10:00,28187,"[2.0, 3.5]",-1,False,50,20,2200
2024-07-26T16:17:00,28188,"[2.0, 3.5]",-1,False,50,20,2800
