Run,Shifter,Particle,Beam Energy (GeV),Collimator position (mm),Time Start,,type,TriggerStatus: General Trigger Count (at begin of run),Run Config,Link to start run in elog,Issues/Comments
,,,,,,,,,,,
PROCESSED,,,,,,,,,,,
temporally limited to 16 hdf5 files,,,,,,,,,,,
,1st beam period (19th - 25th June) [Beam scan schedule],,,,,,,,,,
,,,,,,,,,,,
27338,timm,,1,20,21.06.24 13:08,,,1.20E+02,Yes,https://pdsp-elog.app.cern.ch/elisa/display/24257?logbook=ProtoDUNE-SP,
27343,timm,,1,10,21.06.24 15:40,,,6.90E+01,Yes,https://pdsp-elog.app.cern.ch/elisa/display/24270?logbook=ProtoDUNE-SP,
27344,jhancock,,1,30,21.06.24 16:47,,,1.79E+02,No,https://pdsp-elog.app.cern.ch/elisa/display/24276?logbook=ProtoDUNE-SP,
27347,jhancock,,-1,20,21.06.24 18:03,,,1.02E+02,Yes,https://pdsp-elog.app.cern.ch/elisa/display/24282,
27348,jhancock,,-1,10,21.06.24 18:40,,,4.50E+01,Yes,https://pdsp-elog.app.cern.ch/elisa/display/24284,
27349,jhancock,,-1,30,21.06.24 19:20,,,1.45E+02,Yes,https://pdsp-elog.app.cern.ch/elisa/display/24286,
27351/27352,jhancock,,-3,20,21.06.24 20:24,,,1.87E+02,Yes (with x2 prescale),https://pdsp-elog.app.cern.ch/elisa/display/24290,
27353,jhancock,,-3,10,21.06.24 21:28,,,8.80E+01,Yes (with x2 prescale),https://pdsp-elog.app.cern.ch/elisa/display/24294,
27354,jhancock,,-3,30,21.06.24 22:03,,,2.61E+02,Yes (with x2 prescale),https://pdsp-elog.app.cern.ch/elisa/display/24296,
27355,jhancock,,2,20,21.06.24 22:47,,,2.09E+02,Yes (with x2 prescale),https://pdsp-elog.app.cern.ch/elisa/display/24298,
27356,jhancock,,2,10,21.06.24 23:26,,,1.09E+02,Yes (with x2 prescale),https://pdsp-elog.app.cern.ch/elisa/display/24300,
27357,pahamilt,,2,30,22.06.24 00:27,,,2.60E+02,Yes (with x2 prescale),https://pdsp-elog.app.cern.ch/elisa/display/24303,
27358,pahamilt,,-2,20,22.06.24 01:03,,,1.60E+02,Yes (with x2 prescale),https://pdsp-elog.app.cern.ch/elisa/display/24305,
27359,pahamilt,,-2,10,22.06.24 01:36,,,8.70E+01,Yes (with x2 prescale),https://pdsp-elog.app.cern.ch/elisa/display/24307,
27360,pahamilt,,-2,30,22.06.24 02:10,,,2.10E+02,Yes (with x2 prescale),https://pdsp-elog.app.cern.ch/elisa/display/24309,
27361,pahamilt,,3,20,22.06.24 02:43,,,2.70E+02,Yes (with x2 prescale),https://pdsp-elog.app.cern.ch/elisa/display/24311,
27362,pahamilt,,3,10,22.06.24 03:17,,,1.50E+02,Yes (with x2 prescale),https://pdsp-elog.app.cern.ch/elisa/display/24313,
27365,pahamilt,,3,30,22.06.24 04:24,,,3.90E+02,Yes (with x4 prescale),https://pdsp-elog.app.cern.ch/elisa/display/24319,
27367,pahamilt,,5,20,22.06.24 05:06,,,1.00E+03,Yes (with x8 prescale),https://pdsp-elog.app.cern.ch/elisa/display/24323,
27368,pahamilt,,5,10,22.06.24 05:39,,,5.30E+02,Yes (with x8 prescale),https://pdsp-elog.app.cern.ch/elisa/display/24325,
27370,pahamilt,,5,30,22.06.24 06:20,,,1.30E+03,Yes (with x16 prescale),https://pdsp-elog.app.cern.ch/elisa/display/24329,
27371,pahamilt,,-5,20,22.06.24 06:55,,,8.30E+02,Yes (with x16 prescale),https://pdsp-elog.app.cern.ch/elisa/display/24331,
27372,pahamilt,,-5,10,22.06.24 07:26,,,4.30E+02,Yes (with x16 prescale),https://pdsp-elog.app.cern.ch/elisa/display/24333,
27373,arikalo,,-5,30,22.06.24 08:31,,,3.97E+02,Yes (with x16 prescale),https://pdsp-elog.app.cern.ch/elisa/display/24335,
27374,arikalo,,7,20,22.06.24 09:20,,,1.20E+03,Yes (with x16 prescale),https://pdsp-elog.app.cern.ch/elisa/display/24339,
27375,arikalo,,7,10,22.06.24 09:58,,,6.70 E+02,Yes (with x16 prescale),https://pdsp-elog.app.cern.ch/elisa/display/24341,
27377,arikalo,,7,30,22.06.24 10:51,,,1.70 E+03,Yes (with x16 prescale),https://pdsp-elog.app.cern.ch/elisa/display/24345,
27378,arikalo,,-7,20,22.06.24 11:31,,,9.20 E+02,Yes (with x16 prescale),https://pdsp-elog.app.cern.ch/elisa/display/24347,
27380,arikalo,,-7,10,22.06.24 12:17,,,4.60 E+02,Yes (with x8 prescale),https://pdsp-elog.app.cern.ch/elisa/display/24352,
