Run,Date,Start time,End/run time,Shifter,PDS expert,Active Endpoints,# triggers,type,Configuration,Issues/Comments,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24496,11/03/2024,20:44,,marroyav,,,,,cosmics. All modules biased. (which endpoints were active?),"Signal only in 20 channels from slots 9,11,13",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24605,,,,acervera,,113,,,test with TI command at 5000 Hz in ch 0-7 in endpoint 113. SiPM biased,,,,,,,,,,,,,,,,,,,,,,,
24606,,,,acervera,,113,,,"test with TI command at 5000 Hz in ch 0,2,5,7 in endpoint 113. SiPM biased",,,,,,,,,,,,,,,,,,,,,,,
24608,,,,acervera,,113,416,,"test with TI command at 500 Hz in ch 0,2,5,7 in endpoint 113. No bias. Constant offset at 11000",,,,,,,,,,,,,,,,,,,,,,,
24609,,,,acervera,,113,211,,"test with TI command at 5000 Hz in ch 0,2,5,7 in endpoint 113. No bias. Constant offset at 11000",,,,,,,,,,,,,,,,,,,,,,,
24610,,,,acervera,,113,214,,"test with TI command at 10000 Hz in ch 0,2,5,7 in endpoint 113. No bias. Constant offset at 11000",,,,,,,,,,,,,,,,,,,,,,,
24619,,,,acervera,,113,62,,test with TI command at 5000 Hz in ch 0-7 in endpoint 113. No bias. With variable offset (1468+(ch-4)*30),,,,,,,,,,,,,,,,,,,,,,,
24620,,,,acervera,,113,86,,"test with TI command at 5000 Hz in ch 0-7 in endpoint 113. No bias. With variable offset, higher slope (1100+(ch-4)*150)",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25106,23/04/2024,,,marroyav,,all,,,"test with TI command at 1000 Hz in ep 113 (AFE 0), 111 (AFE 0-2), 112 (AFE 0-3). All SiMP biased. LED 243 nm, with 9V in DCS and  100 DAC in conf",113 missing  in DAQ conf file,,,,,,,,,,,,,,,,,,,,,,
25107,23/04/2024,,,marroyav,,all,,,"test with TI command at 1000 Hz in ep 113 (AFE 0), 111 (AFE 0-2), 112 (AFE 0-3). All SiMP biased. LED 243 nm, with 10V in DCS and  100 DAC in conf",113 missing  in DAQ conf file,,,,,,,,,,,,,,,,,,,,,,
25108,23/04/2024,,,marroyav,,all,,,"test with TI command at 1000 Hz in ep 113 (AFE 0), 111 (AFE 0-2), 112 (AFE 0-3). All SiMP biased. LED 243 nm, with 8.5V in DCS and  100 DAC in conf",113 missing  in DAQ conf file,,,,,,,,,,,,,,,,,,,,,,
25109,23/04/2024,,,marroyav,,all,,,"test with TI command at 1000 Hz in ep 113 (AFE 0), 111 (AFE 0-2), 112 (AFE 0-3). All SiMP biased. LED 369 nm, with 5V in DCS and  14 DAC in conf",113 missing  in DAQ conf file. Too much light at 14 DAC and nothing at 13 DAC,,,,,,,,,,,,,,,,,,,,,,
25123,24/04/2024,,,marroyav,,111,,,"test with TI command at 1000 Hz in ep 111 (AFE 0-5). Bias in 111, 112 y 113. Configured 0,2,5,7 in 111. LED 270 nm, with 9V in DCS and  100 DAC in conf. 10 Hz daq rate","only channels 0,2,5,7 in 111. NO OVERVOLTAGE",,,,,,,,,,,,,,,,,,,,,,
25125,24/04/2024,,,marroyav,,111,~10000,,"test with TI command at 1000 Hz in ep 111 (AFE 0-5). Bias in 111, 112 y 113. Configured all in 111. LED 270 nm, with 12V in DCS and  100 DAC in conf. 50 Hz daq rate",NO OVERVOLTAGE,,,,,,,,,,,,,,,,,,,,,,
25130,24/04/2024,,,marroyav,,111,,,"test with TI command at 1000 Hz in ep 111 (AFE 0-5). Bias in 111, 112 y 113. Configured all in 111. LED 270 nm, with 8.5 V in DCS and  100 DAC in conf. 100 Hz daq rate",WITH OVERVOLTAGE,,,,,,,,,,,,,,,,,,,,,,
25141,25/04/2024,,,marroyav,,109,,,"test with TI command at 1000 Hz in ep 109. Biased. LED 365 nm, with 3.4 V in DCS and 50 DAC in conf, 1 tick width. 200 Hz daq rate","daphne integrators activated, offset at 8000",,,,,,,,,,,,,,,,,,,,,,
